ion_id,frame,ionic_force,ionic_force_magnitude,ionic_motion_component,cosine_ionic_motion,radial_force,axial_force,motion_vector,contributing_ion,contrib_force,contrib_magnitude,contrib_distance,contrib_cosine_with_motion,contrib_motion_component,contrib_before_closest_residue,contrib_closest_residue,contrib_next_closest_residue
1313,3666,"[10.75574392080307, 1.7153973430395126, -10.894026815891266]",15.40481858379894,4.213414880499618,0.27351278806560014,10.891676424426095,-10.894026815891266,"[-5.590518951416016, 0.6866645812988281, -9.774658203125]",1316,"[0.4411103129386902, 0.020791510120034218, -1.5011932849884033]",1.5647977590560913,14.565987586975098,0.6923382640351051,1.0833693302727547,,,
1313,3666,"[10.75574392080307, 1.7153973430395126, -10.894026815891266]",15.40481858379894,4.213414880499618,0.27351278806560014,10.891676424426095,-10.894026815891266,"[-5.590518951416016, 0.6866645812988281, -9.774658203125]",1387,"[1.0603179931640625, 0.020274614915251732, -2.5148849487304688]",2.729346513748169,11.029090881347656,0.6062964219064304,1.6547929387803724,,,
1313,3666,"[10.75574392080307, 1.7153973430395126, -10.894026815891266]",15.40481858379894,4.213414880499618,0.27351278806560014,10.891676424426095,-10.894026815891266,"[-5.590518951416016, 0.6866645812988281, -9.774658203125]",1460,"[3.8352208137512207, 0.3034936487674713, -5.381428241729736]",6.615194320678711,7.084312915802002,0.4203375156977876,2.780614381738402,,,
1313,3666,"[10.75574392080307, 1.7153973430395126, -10.894026815891266]",15.40481858379894,4.213414880499618,0.27351278806560014,10.891676424426095,-10.894026815891266,"[-5.590518951416016, 0.6866645812988281, -9.774658203125]",1306,"[2.8424875736236572, 2.9671502113342285, -0.9589595198631287]",4.219398021697998,8.87041187286377,-0.09411734995217312,-0.39711855660500106,1105,1105,1105
1313,3666,"[10.75574392080307, 1.7153973430395126, -10.894026815891266]",15.40481858379894,4.213414880499618,0.27351278806560014,10.891676424426095,-10.894026815891266,"[-5.590518951416016, 0.6866645812988281, -9.774658203125]",1307,"[2.5766072273254395, -1.5963126420974731, -0.5375608205795288]",3.0783259868621826,10.385125160217285,-0.2950445267137366,-0.9082432151579863,130,130,130
1460,5131,"[-1.5341421365737915, 1.2003412246704102, -8.31950581073761]",8.544506310241179,8.28486753208355,0.9696133669131436,1.9479248319312679,-8.31950581073761,"[0.4506874084472656, 1.7896232604980469, -8.027915954589844]",1320,"[-0.10016888380050659, -0.04445159435272217, -1.7664031982421875]",1.7697994709014893,13.696418762207031,0.9641559088449246,1.7063625740516983,,,
1460,5131,"[-1.5341421365737915, 1.2003412246704102, -8.31950581073761]",8.544506310241179,8.28486753208355,0.9696133669131436,1.9479248319312679,-8.31950581073761,"[0.4506874084472656, 1.7896232604980469, -8.027915954589844]",1308,"[1.0612798929214478, 1.444498062133789, -2.4021823406219482]",2.9972269535064697,10.524687767028809,0.9051742631942796,2.713012736925825,1105,1105,1105
1460,5131,"[-1.5341421365737915, 1.2003412246704102, -8.31950581073761]",8.544506310241179,8.28486753208355,0.9696133669131436,1.9479248319312679,-8.31950581073761,"[0.4506874084472656, 1.7896232604980469, -8.027915954589844]",1306,"[-1.5543725490570068, 1.258629322052002, -1.952666163444519]",2.7951972484588623,10.898402214050293,0.7482234116119566,2.091431924959317,780,780,780
1460,5131,"[-1.5341421365737915, 1.2003412246704102, -8.31950581073761]",8.544506310241179,8.28486753208355,0.9696133669131436,1.9479248319312679,-8.31950581073761,"[0.4506874084472656, 1.7896232604980469, -8.027915954589844]",1307,"[-0.9408805966377258, -1.4583345651626587, -2.198254108428955]",2.8007707595825195,10.887552261352539,0.6334185661219965,1.7740602300716677,455,455,455
1387,4416,"[-0.9943284774199128, -0.28250962495803833, -4.419668912887573]",4.5389397560164815,3.758346497848085,0.8280229965304783,1.0336831280436638,-4.419668912887573,"[2.0530242919921875, -1.0973854064941406, -5.364692687988281]",1307,"[-0.013370522297918797, -0.8900471329689026, -1.4354690313339233]",1.6890630722045898,14.019938468933105,0.8757279544678656,1.4791597356584902,130,130,130
1387,4416,"[-0.9943284774199128, -0.28250962495803833, -4.419668912887573]",4.5389397560164815,3.758346497848085,0.8280229965304783,1.0336831280436638,-4.419668912887573,"[2.0530242919921875, -1.0973854064941406, -5.364692687988281]",1460,"[0.07012513279914856, 0.7181707620620728, -1.3524318933486938]",1.5328923463821411,14.71679401397705,0.7375033161043688,1.1305131545959268,1105,1105,1105
1387,4416,"[-0.9943284774199128, -0.28250962495803833, -4.419668912887573]",4.5389397560164815,3.758346497848085,0.8280229965304783,1.0336831280436638,-4.419668912887573,"[2.0530242919921875, -1.0973854064941406, -5.364692687988281]",1306,"[-1.0510830879211426, -0.1106332540512085, -1.631767988204956]",1.9441404342651367,13.067882537841797,0.5908387561172265,1.1486735331909976,SF,455,780
1316,4995,"[-0.5935544595122337, -0.6611031033098698, -7.9463828802108765]",7.995896765749374,7.949022122312232,0.9941376627524844,0.8884617097054888,-7.9463828802108765,"[-0.8656425476074219, -0.01506805419921875, -5.828033447265625]",1307,"[-0.07242100685834885, -0.12115886062383652, -3.0449378490448]",3.0482077598571777,10.436305046081543,0.9916764005175307,3.0228357365807152,SF,SF,1105
1316,4995,"[-0.5935544595122337, -0.6611031033098698, -7.9463828802108765]",7.995896765749374,7.949022122312232,0.9941376627524844,0.8884617097054888,-7.9463828802108765,"[-0.8656425476074219, -0.01506805419921875, -5.828033447265625]",1460,"[-0.8827682137489319, -0.0563669316470623, -1.7279608249664307]",1.9412124156951904,13.07773494720459,0.9473684974300527,1.8390434699183675,780,780,455
1316,4995,"[-0.5935544595122337, -0.6611031033098698, -7.9463828802108765]",7.995896765749374,7.949022122312232,0.9941376627524844,0.8884617097054888,-7.9463828802108765,"[-0.8656425476074219, -0.01506805419921875, -5.828033447265625]",1306,"[-0.4053342640399933, -0.8712661266326904, -1.413935661315918]",1.7095656394958496,13.935615539550781,0.8542328263445506,1.4603670649675295,455,455,455
1316,4995,"[-0.5935544595122337, -0.6611031033098698, -7.9463828802108765]",7.995896765749374,7.949022122312232,0.9941376627524844,0.8884617097054888,-7.9463828802108765,"[-0.8656425476074219, -0.01506805419921875, -5.828033447265625]",1308,"[0.7669690251350403, 0.3876888155937195, -1.759548544883728]",1.9582020044326782,13.020878791809082,0.8307496712078332,1.626775691469368,1105,1105,1105
1308,5269,"[-5.241335988044739, 5.312704533338547, -14.097607970237732]",15.951143622970715,11.948799889120384,0.7490873489417593,7.46300424749503,-14.097607970237732,"[1.2253837585449219, -1.5603828430175781, -8.167594909667969]",1403,"[-0.3197493553161621, 0.288761705160141, -2.3088576793670654]",2.3487117290496826,11.889242172241211,0.9125800371947513,2.143387431225561,,,
1308,5269,"[-5.241335988044739, 5.312704533338547, -14.097607970237732]",15.951143622970715,11.948799889120384,0.7490873489417593,7.46300424749503,-14.097607970237732,"[1.2253837585449219, -1.5603828430175781, -8.167594909667969]",1309,"[-2.9148778915405273, -2.9359593391418457, -3.625190496444702]",5.50076150894165,7.768866062164307,0.662242245518847,3.6428366128690963,130,455,130
1308,5269,"[-5.241335988044739, 5.312704533338547, -14.097607970237732]",15.951143622970715,11.948799889120384,0.7490873489417593,7.46300424749503,-14.097607970237732,"[1.2253837585449219, -1.5603828430175781, -8.167594909667969]",1320,"[-1.0187950134277344, 6.049768924713135, -6.9975690841674805]",9.306106567382812,5.972897052764893,0.5940372062105592,5.528173576817856,1105,1105,1105
1308,5269,"[-5.241335988044739, 5.312704533338547, -14.097607970237732]",15.951143622970715,11.948799889120384,0.7490873489417593,7.46300424749503,-14.097607970237732,"[1.2253837585449219, -1.5603828430175781, -8.167594909667969]",1306,"[-0.9879137277603149, 1.9101332426071167, -1.1659907102584839]",2.4462454319000244,11.64981460571289,0.2593372636546249,0.6344026050880931,780,780,780
